Name,Phone Number,Email,Credit Score,Age Group,Family Background,Income,Comments,Occupation,Lead Intent
User97,+91-1744853265,user97@yahoo.com,706,51+,Married with Kids,428443,call me now,Teacher,0
User98,+91-8065630674,user98@test.com,398,36–50,Single,844821,urgent,Business Owner,1
User99,+91-7572204072,user99@gmail.com,846,26–35,Married with Kids,739791,not urgent,Retired,0
User100,+91-1754560533,user100@yahoo.com,761,26–35,Married,139023,urgent,Lawyer,1
User101,+91-5891676792,user101@yahoo.com,304,26–35,Married with Kids,281101,budget approved,AccountantCivil Engineer,1
User102,+91-6508951404,user102@yahoo.com,517,18–25,Single,402085,follow up next week,Lawyer,0
User103,+91-0646542597,user103@yahoo.com,802,51+,Married with Kids,547166,interested,Business Owner,1
User104,+91-8846721745,user104@gmail.com,697,51+,Married with Kids,842319,not interested,Student,1
User105,+91-5705718928,user105@outlook.com,692,26–35,Married,176054,call me now,Student,1
User106,+91-1939213977,user106@test.com,506,18–25,Married with Kids,427507,not urgent,Doctor,0
User107,+91-8386691815,user107@test.com,314,18–25,Married,601772,,Teacher,0
User108,+91-9730458360,user108@yahoo.com,760,51+,Single,686030,need more info,Sales Executive,0
User109,+91-2794554328,user109@outlook.com,540,51+,Single,591112,urgent,Software Engineer,1
User110,+91-2348717360,user110@gmail.com,395,18–25,Married with Kids,669503,urgent,Retired,1
User111,+91-1194783591,user111@gmail.com,784,36–50,Married with Kids,934289,price too high,Business Owner,1
User112,+91-4363745787,user112@outlook.com,706,18–25,Single,941908,follow up next week,Student,0
User113,+91-5891121268,user113@gmail.com,530,36–50,Single,259245,not interested,Business Owner,0
User114,+91-9622532251,user114@outlook.com,470,51+,Single,502611,not urgent,AccountantCivil Engineer,0
User115,+91-8084911856,user115@test.com,840,18–25,Married with Kids,946200,call me now,AccountantCivil Engineer,0
User116,+91-0280126476,user116@gmail.com,335,18–25,Single,341443,follow up next week,Business Owner,1
User117,+91-3536384499,user117@test.com,824,18–25,Married with Kids,577959,,Business Owner,0
User118,+91-8403988508,user118@gmail.com,459,18–25,Single,203591,price too high,Teacher,0
User119,+91-8078935615,user119@yahoo.com,542,26–35,Single,349045,not urgent,Teacher,1
User120,+91-2414854646,user120@outlook.com,385,26–35,Married with Kids,670517,not interested,Business Owner,1
User121,+91-7207305856,user121@gmail.com,327,51+,Married,998138,follow up next week,AccountantCivil Engineer,0
User122,+91-6220683248,user122@yahoo.com,639,51+,Married with Kids,162583,follow up next week,Teacher,0
User123,+91-4505186895,user123@gmail.com,630,18–25,Married,355931,budget approved,Software Engineer,1
User124,+91-6203617898,user124@outlook.com,805,26–35,Married with Kids,259996,call me now,Retired,1
User125,+91-5093478308,user125@test.com,647,51+,Married,750299,interested,Student,1
User126,+91-9629093301,user126@outlook.com,772,36–50,Married,566185,urgent,Teacher,1
User127,+91-7642736431,user127@gmail.com,530,26–35,Married,392248,need more info,Teacher,0
User128,+91-3138830488,user128@test.com,489,26–35,Married with Kids,864948,not urgent,Doctor,1
User129,+91-4195167958,user129@outlook.com,524,26–35,Married with Kids,924026,follow up next week,Lawyer,1
User130,+91-0377762121,user130@test.com,684,18–25,Married with Kids,365808,call me now,Retired,0
User131,+91-8445063255,user131@yahoo.com,676,36–50,Married,896960,not urgent,Sales Executive,0
User132,+91-4269900232,user132@outlook.com,582,18–25,Married,783550,follow up next week,Doctor,0
User133,+91-5846726975,user133@test.com,558,51+,Married with Kids,821393,,Student,0
User134,+91-0569779935,user134@yahoo.com,658,36–50,Married with Kids,554377,not interested,Sales Executive,1
User135,+91-7247164875,user135@yahoo.com,755,18–25,Single,828537,price too high,Student,1
User136,+91-5940469175,user136@test.com,710,26–35,Single,752692,budget approved,Teacher,0
User137,+91-1341966050,user137@outlook.com,617,36–50,Single,301664,budget approved,Student,0
User138,+91-5555082831,user138@outlook.com,524,26–35,Single,395043,need more info,AccountantCivil Engineer,1
User139,+91-7208318221,user139@test.com,533,51+,Single,957411,call me now,Lawyer,1
User140,+91-2851104444,user140@test.com,673,36–50,Married with Kids,641529,price too high,Doctor,0
User141,+91-3377925864,user141@outlook.com,771,51+,Married,932643,not interested,Retired,0
User142,+91-7811257832,user142@test.com,532,51+,Married,687760,price too high,Business Owner,1
User143,+91-9915618833,user143@outlook.com,412,51+,Married with Kids,305320,follow up next week,Business Owner,1
User144,+91-8703374872,user144@test.com,796,36–50,Married with Kids,131346,urgent,Sales Executive,1
User145,+91-8975570784,user145@yahoo.com,741,51+,Married with Kids,705484,budget approved,Retired,1
User146,+91-0573825699,user146@yahoo.com,567,18–25,Single,466595,not interested,Doctor,0
User147,+91-8277816599,user147@gmail.com,809,18–25,Single,832484,interested,Software Engineer,1
User148,+91-2645670735,user148@gmail.com,685,51+,Single,989340,urgent,Business Owner,1
User149,+91-4384172767,user149@test.com,686,26–35,Married with Kids,535436,price too high,Retired,0
User150,+91-1043473104,user150@test.com,412,51+,Married with Kids,249014,budget approved,Sales Executive,0
User151,+91-9334088493,user151@yahoo.com,380,51+,Married,935599,call me now,Teacher,1
User152,+91-6607613671,user152@outlook.com,412,26–35,Married with Kids,922805,not interested,Student,1
User153,+91-8286135262,user153@yahoo.com,301,36–50,Single,953575,,Retired,1
User154,+91-6635847524,user154@outlook.com,519,36–50,Married,744911,call me now,Student,0
User155,+91-7953764581,user155@test.com,524,51+,Married with Kids,996445,not interested,Retired,1
User156,+91-1575502147,user156@outlook.com,684,18–25,Married,102016,not urgent,Software Engineer,0
User157,+91-9999253992,user157@gmail.com,702,18–25,Married,955542,price too high,Doctor,0
User158,+91-7176565474,user158@gmail.com,429,18–25,Married with Kids,623195,interested,Doctor,1
User159,+91-2629217214,user159@outlook.com,352,51+,Single,631562,budget approved,Retired,1
User160,+91-5354138709,user160@gmail.com,715,18–25,Single,115748,urgent,Doctor,0
User161,+91-1270026342,user161@outlook.com,546,18–25,Married,513391,follow up next week,Software Engineer,0
User162,+91-8131836988,user162@yahoo.com,738,36–50,Married with Kids,597926,need more info,Doctor,1
User163,+91-8544566449,user163@gmail.com,502,51+,Married with Kids,636114,call me now,Teacher,0
User164,+91-7034914636,user164@test.com,483,36–50,Single,969440,,Retired,1
User165,+91-8789615598,user165@gmail.com,422,26–35,Married with Kids,753576,budget approved,Software Engineer,1
User166,+91-8702531641,user166@outlook.com,700,36–50,Married with Kids,527345,follow up next week,Teacher,0
User167,+91-3232581537,user167@outlook.com,593,51+,Married,301081,not interested,Software Engineer,0
User168,+91-7467866889,user168@outlook.com,579,18–25,Married with Kids,875342,follow up next week,Retired,1
User169,+91-6979667463,user169@outlook.com,497,51+,Married with Kids,516706,follow up next week,Business Owner,1
User170,+91-4063665634,user170@test.com,810,36–50,Married with Kids,992055,not urgent,Software Engineer,1
User171,+91-9334264307,user171@yahoo.com,443,51+,Single,272507,call me now,Sales Executive,0
User172,+91-2463946532,user172@gmail.com,500,51+,Single,830377,not urgent,AccountantCivil Engineer,1
User173,+91-5420123497,user173@gmail.com,423,36–50,Married,620140,follow up next week,AccountantCivil Engineer,0
User174,+91-5323475941,user174@outlook.com,486,36–50,Single,323023,not urgent,Lawyer,1
User175,+91-6020180384,user175@test.com,625,26–35,Single,445250,price too high,Doctor,0
User176,+91-3878015248,user176@outlook.com,763,26–35,Single,817237,not interested,Student,0
User177,+91-6367539746,user177@yahoo.com,648,36–50,Single,416782,follow up next week,Business Owner,1
User178,+91-0942389310,user178@outlook.com,702,51+,Married,169072,not urgent,AccountantCivil Engineer,0
User179,+91-7738324489,user179@yahoo.com,645,36–50,Married with Kids,167309,call me now,Retired,1
User180,+91-0548210640,user180@outlook.com,810,18–25,Married with Kids,260966,need more info,Business Owner,1
User181,+91-0513844372,user181@outlook.com,446,26–35,Married with Kids,601775,price too high,Teacher,0
User182,+91-8168271852,user182@yahoo.com,447,18–25,Married,486868,call me now,Business Owner,0
User183,+91-7440196167,user183@outlook.com,788,51+,Single,285639,price too high,Business Owner,1
User184,+91-7724749774,user184@gmail.com,850,18–25,Married,659614,price too high,Lawyer,1
User185,+91-4585224895,user185@outlook.com,637,36–50,Married,810419,follow up next week,Student,1
User186,+91-4604630121,user186@gmail.com,772,36–50,Married,891511,not urgent,Lawyer,1
User187,+91-3580149373,user187@gmail.com,450,36–50,Married with Kids,483556,price too high,Business Owner,0
User188,+91-5666947069,user188@gmail.com,714,18–25,Single,711628,not urgent,Lawyer,1
User189,+91-5970453678,user189@gmail.com,597,18–25,Married with Kids,971643,not urgent,Student,1
User190,+91-1572453068,user190@outlook.com,562,18–25,Married,518810,price too high,Doctor,0
User191,+91-8590535962,user191@gmail.com,443,36–50,Married,404893,call me now,Teacher,0
User192,+91-6096654304,user192@test.com,645,36–50,Married with Kids,791652,need more info,Sales Executive,0
User193,+91-9532103075,user193@test.com,301,36–50,Married with Kids,742480,need more info,Business Owner,1
User194,+91-1599185706,user194@yahoo.com,603,18–25,Married with Kids,960966,price too high,Business Owner,1
User195,+91-9285815551,user195@yahoo.com,553,18–25,Single,351749,interested,Sales Executive,0
User196,+91-7073653788,user196@outlook.com,752,51+,Married with Kids,965665,call me now,Student,1
User197,+91-6457027650,user197@gmail.com,336,26–35,Single,676106,interested,Sales Executive,0
User198,+91-4958678989,user198@outlook.com,459,36–50,Single,998342,follow up next week,Sales Executive,0
User199,+91-7368597557,user199@gmail.com,308,18–25,Married with Kids,637717,not urgent,Doctor,0
User200,+91-4384467061,user200@gmail.com,532,26–35,Married,682036,not interested,Teacher,1
User201,+91-7554355024,user201@yahoo.com,398,18–25,Married,673095,urgent,Business Owner,1
User202,+91-5239590507,user202@outlook.com,507,18–25,Single,369284,,Sales Executive,0
User203,+91-5744986916,user203@outlook.com,430,36–50,Single,425370,need more info,Software Engineer,0
User204,+91-3808619030,user204@outlook.com,703,26–35,Single,862449,not interested,Teacher,1
User205,+91-4102267987,user205@outlook.com,451,18–25,Married,508117,urgent,Teacher,1
User206,+91-8603418145,user206@yahoo.com,353,26–35,Single,975247,not interested,Software Engineer,1
User207,+91-9481293882,user207@yahoo.com,419,26–35,Single,914957,call me now,Doctor,0
User208,+91-5674444286,user208@gmail.com,719,36–50,Married,382635,budget approved,AccountantCivil Engineer,0
User209,+91-7579928373,user209@test.com,721,26–35,Married with Kids,299888,interested,Lawyer,1
User210,+91-9410300087,user210@outlook.com,403,51+,Married,266052,not interested,Teacher,1
User211,+91-2375661885,user211@test.com,553,51+,Married with Kids,606733,price too high,Student,1
User212,+91-9292419917,user212@yahoo.com,526,36–50,Married with Kids,326597,interested,Retired,1
User213,+91-2805939824,user213@gmail.com,411,36–50,Single,108078,follow up next week,Student,0
User214,+91-5112376413,user214@test.com,809,51+,Single,715942,,Business Owner,1
User215,+91-0776812397,user215@test.com,772,36–50,Married with Kids,229101,budget approved,Teacher,0
User216,+91-4727860529,user216@test.com,398,26–35,Single,582737,not interested,Sales Executive,0
User217,+91-8631414835,user217@outlook.com,452,18–25,Married with Kids,541920,not interested,Lawyer,0
User218,+91-6463067537,user218@test.com,637,36–50,Single,641285,urgent,AccountantCivil Engineer,0
User219,+91-2276369116,user219@yahoo.com,462,51+,Married,573026,need more info,Retired,1
User220,+91-9632993569,user220@gmail.com,460,18–25,Married with Kids,756228,price too high,Retired,1
User221,+91-1181269036,user221@test.com,697,26–35,Married with Kids,608715,not interested,Lawyer,1
User222,+91-7462676612,user222@test.com,576,18–25,Single,519614,follow up next week,Student,1
User223,+91-2121558670,user223@yahoo.com,803,51+,Married,312650,,AccountantCivil Engineer,1
User224,+91-4036505643,user224@test.com,691,18–25,Single,459500,budget approved,Retired,1
User225,+91-9340128329,user225@outlook.com,434,51+,Married,475855,budget approved,Teacher,0
User226,+91-2996543345,user226@yahoo.com,494,36–50,Single,907678,need more info,Lawyer,0
User227,+91-4855855457,user227@outlook.com,700,36–50,Married with Kids,251633,call me now,Doctor,0
User228,+91-5259433661,user228@test.com,332,51+,Married,134512,not urgent,Business Owner,0
User229,+91-6759870238,user229@gmail.com,759,36–50,Married,325226,not interested,Teacher,1
User230,+91-7612097141,user230@gmail.com,769,26–35,Single,308467,follow up next week,Doctor,0
User231,+91-3976444336,user231@test.com,674,18–25,Married,944297,not interested,Retired,1
User232,+91-6287040353,user232@gmail.com,321,51+,Single,564175,call me now,Student,0
User233,+91-1601084217,user233@gmail.com,337,51+,Married,989825,follow up next week,Teacher,1
User234,+91-2127029919,user234@outlook.com,529,51+,Single,696432,not interested,Sales Executive,0
User235,+91-6748407681,user235@outlook.com,664,26–35,Single,797845,,Doctor,0
User236,+91-7486470174,user236@outlook.com,737,26–35,Single,217363,budget approved,Sales Executive,1
User237,+91-6379340776,user237@test.com,582,26–35,Married with Kids,412809,follow up next week,AccountantCivil Engineer,1
User238,+91-3157720727,user238@outlook.com,326,51+,Married,825772,,Lawyer,0
User239,+91-9756414980,user239@yahoo.com,525,26–35,Married with Kids,281675,not urgent,Business Owner,0
User240,+91-9756315319,user240@test.com,576,36–50,Married with Kids,252110,price too high,Business Owner,1
User241,+91-4767288041,user241@outlook.com,583,18–25,Married with Kids,717830,price too high,Lawyer,1
User242,+91-6906503566,user242@gmail.com,780,36–50,Married with Kids,987743,not urgent,Doctor,0
User243,+91-0670709597,user243@outlook.com,752,36–50,Married,589562,urgent,Lawyer,0
User244,+91-7776221753,user244@outlook.com,815,26–35,Married,900757,not interested,Teacher,1
User245,+91-1686925144,user245@test.com,846,51+,Married with Kids,266964,follow up next week,Lawyer,0
User246,+91-3937004229,user246@test.com,491,36–50,Married,494969,price too high,Lawyer,0
User247,+91-2484273248,user247@outlook.com,348,18–25,Married,773356,follow up next week,AccountantCivil Engineer,0
User248,+91-4475616660,user248@outlook.com,811,26–35,Single,955243,budget approved,Software Engineer,0
User249,+91-5324724128,user249@yahoo.com,316,36–50,Married,829643,not interested,Teacher,1
User250,+91-0984972367,user250@yahoo.com,471,26–35,Married with Kids,216737,call me now,Student,1
User251,+91-8944459461,user251@test.com,519,18–25,Married,556036,need more info,Student,1
User252,+91-6765675076,user252@yahoo.com,457,26–35,Married with Kids,362968,interested,Student,0
User253,+91-7679214031,user253@gmail.com,776,51+,Married,507096,call me now,AccountantCivil Engineer,1
User254,+91-3426866656,user254@test.com,345,36–50,Married with Kids,864705,budget approved,Student,0
User255,+91-7518733819,user255@yahoo.com,672,36–50,Married,742006,interested,Retired,1
User256,+91-1845943814,user256@gmail.com,817,51+,Married,428761,urgent,Lawyer,1
User257,+91-4146190867,user257@yahoo.com,398,18–25,Married,373661,interested,Lawyer,0
User258,+91-8869685991,user258@outlook.com,336,18–25,Married with Kids,777043,price too high,Business Owner,0
User259,+91-6024195968,user259@outlook.com,579,26–35,Single,510092,not urgent,AccountantCivil Engineer,1
User260,+91-9231550710,user260@yahoo.com,648,36–50,Married with Kids,465212,price too high,Software Engineer,0
User261,+91-9929358629,user261@test.com,796,18–25,Married,567018,not interested,Student,0
User262,+91-5405199069,user262@yahoo.com,601,51+,Married with Kids,832079,follow up next week,Lawyer,0
User263,+91-2121182259,user263@yahoo.com,480,51+,Married,873408,interested,Student,0
User264,+91-8558642244,user264@test.com,398,51+,Married,878610,follow up next week,Teacher,1
User265,+91-3433653502,user265@test.com,415,18–25,Single,579818,price too high,Lawyer,1
User266,+91-6055553537,user266@gmail.com,490,51+,Married,309485,,Teacher,0
User267,+91-0176799474,user267@outlook.com,552,36–50,Married,372126,call me now,AccountantCivil Engineer,1
User268,+91-5303156482,user268@yahoo.com,460,18–25,Married,519814,urgent,Student,0
User269,+91-6011417009,user269@gmail.com,555,18–25,Single,245711,not interested,Business Owner,0
User270,+91-4021582772,user270@gmail.com,622,36–50,Married with Kids,694498,follow up next week,AccountantCivil Engineer,0
User271,+91-2660788351,user271@yahoo.com,427,51+,Single,694140,interested,Business Owner,0
User272,+91-5647589746,user272@outlook.com,317,18–25,Married with Kids,879427,price too high,AccountantCivil Engineer,1
User273,+91-8076886826,user273@outlook.com,622,36–50,Married,109695,need more info,Business Owner,1
User274,+91-8247699647,user274@gmail.com,587,36–50,Married with Kids,148582,follow up next week,Lawyer,1
User275,+91-7836916606,user275@outlook.com,454,26–35,Married with Kids,393238,not urgent,Lawyer,1
User276,+91-4096330753,user276@yahoo.com,789,51+,Married with Kids,815995,,Lawyer,0
User277,+91-0925264067,user277@yahoo.com,685,51+,Married with Kids,384331,,Student,1
User278,+91-5205123920,user278@outlook.com,403,36–50,Married,753009,interested,Software Engineer,0
User279,+91-7591723210,user279@yahoo.com,692,18–25,Single,730971,urgent,AccountantCivil Engineer,0
User280,+91-9373341430,user280@gmail.com,545,26–35,Married with Kids,887646,need more info,Teacher,0
User281,+91-2146439287,user281@outlook.com,475,26–35,Married,910372,not urgent,Lawyer,1
User282,+91-5730308136,user282@gmail.com,338,18–25,Married,619382,need more info,AccountantCivil Engineer,1
User283,+91-2064286867,user283@gmail.com,776,26–35,Married,668694,price too high,Student,0
User284,+91-0841551085,user284@test.com,837,18–25,Married,247049,call me now,Teacher,1
User285,+91-9207934745,user285@gmail.com,707,26–35,Married with Kids,538055,,Teacher,0
User286,+91-2605518839,user286@yahoo.com,824,18–25,Single,551090,need more info,Teacher,0
User287,+91-7844294837,user287@yahoo.com,805,36–50,Married,944846,follow up next week,Student,1
User288,+91-3991469860,user288@outlook.com,335,36–50,Single,463584,need more info,Doctor,0
User289,+91-0212944254,user289@yahoo.com,319,26–35,Single,335994,not interested,AccountantCivil Engineer,0
User290,+91-3368894879,user290@yahoo.com,620,26–35,Single,990001,follow up next week,Teacher,1
User291,+91-2550009108,user291@gmail.com,811,36–50,Married,811601,call me now,Sales Executive,0
User292,+91-6042391685,user292@test.com,699,51+,Married,304573,need more info,Sales Executive,0
User293,+91-9226568073,user293@outlook.com,770,18–25,Married,830493,price too high,Teacher,1
User294,+91-8386594238,user294@test.com,442,51+,Single,160481,interested,Lawyer,0
User295,+91-1988468946,user295@test.com,391,26–35,Married,862372,price too high,Teacher,1
User296,+91-7655160977,user296@yahoo.com,653,36–50,Married,389884,price too high,Lawyer,0
User297,+91-4131210136,user297@gmail.com,350,26–35,Single,949760,not interested,Business Owner,0
User298,+91-6404807618,user298@yahoo.com,489,51+,Married,596733,urgent,AccountantCivil Engineer,0
User299,+91-5902892870,user299@gmail.com,424,36–50,Married with Kids,374025,,Lawyer,1
User300,+91-2602833399,user300@yahoo.com,449,36–50,Married with Kids,399140,need more info,Doctor,1
User301,+91-5395519728,user301@yahoo.com,613,36–50,Married with Kids,787537,urgent,Sales Executive,0
User302,+91-1453446316,user302@yahoo.com,641,18–25,Married with Kids,746484,need more info,Teacher,1
User303,+91-7374114058,user303@outlook.com,604,26–35,Single,661465,budget approved,Lawyer,1
User304,+91-5597564679,user304@outlook.com,353,51+,Married,166126,price too high,Student,0
User305,+91-0505667277,user305@gmail.com,743,18–25,Married with Kids,418675,follow up next week,Teacher,0
User306,+91-6354040873,user306@yahoo.com,563,51+,Married with Kids,126119,call me now,Retired,0
User307,+91-7108684103,user307@outlook.com,352,18–25,Married,742032,budget approved,Teacher,0
